Contestant,Age,State,Occupation,0Pre ,1-AU,1-IT,1-CS,2-MB,2-ME,2-PT,2-IC1,2-ICG,2-TC 1/11,2-PT1,2-PT2,3-MB,3-TC 1/5,3-PT,3-IC1,3-IC2,3-TC 1/10,3-TE1,3-TE2,4-MB,4-IT,4-PT,4-IC1,4-IC2,4-TC 1/6,4-TE1,4-TE2,5-MB,5-IT,5-PT,5-IC1,5-IC2,5-TC 1/8,5-TE1,5-TE2,6-MB,6-IT 1/2,6-PT,6-IC1,6-IC2,6-TC 1/7,6-TE1,6-TE2,7-MB,7-IT,7-PT,7-2C,7-IC1,7-IC2,7-TC 1/6,7-TE1,7-TE2,8-MB,8-IT,8-PT,8-IC1,8-IC2,8-TC 1/2,8-TE,9-MB,9-IT,9-IN,9-IC1,9-IC2,9-TC 1/5,9-TE,10-MB,10-IT,10-PT,10-IC1,10-IC2,10-TC 1/2,10-TE,11-MB,11-IT,11-TC,11-IC1,11-IC2,11-TC 1/3,11-TE,12-MB,12-IT,12-PT,12-AC,12-PC,12-Q1,12-Q2,12-Q3,12-MC 1/4,12-SF,12-FE,12-FM,12-FD,Now
1 Larissa Takchi,22,NSW,Restaurant Manager,3,3,3,,4,3,,,,2,2,,3,4,3,,,1,,,1,,,4,,2,,,5,2,,4,,2,1,,3,3,1,,,1,,,3,2,,,,,2,3,2,1,,,4,,2,,4,2,2,,,2,1,2,1,,1,1,2,,2,4,4,,,2,,1,,,1,1,,,,1,3,1,1,1,3
2 Tessa Boersma,27,QLD,Criminal Statistician,3,1,3,,3,2,,1,1,2,,,3,1,,2,,1,,,3,3,,,,2,,,5,6,,,,1,,,2,2,,,,2,1,,2,1,,,1,1,1,,,3,2,,,,3,,4,4,1,1,2,1,,3,2,,,,4,2,2,1,,1,2,1,,4,1,,3,2,1,,,1,1,1,2,2,3
3 Simon Toohey,32,VIC,Cocktail Barman,3,1,3,,4,3,,,,2,1,,2,1,,1,2,1,,,4,5,,,,3,1,,5,5,,,,2,2,1,1,,,4,,2,3,1,1,2,,,3,,2,1,,4,3,1,,,3,2,4,1,,2,,2,2,2,1,,3,,3,1,4,2,5,,,2,1,2,2,,3,5,,1,,1,2,2,3,3,3
4 Tim Bone (15),33,VIC,Cooking and Gardening Educator,3,1,2,1,3,,,,,1,,,3,2,,,,1,,,4,4,,,,2,,,5,4,,,,1,,,3,3,4,,,,,,,,,1,,,1,,,4,1,,1,2,,,4,5,4,,,1,,3,3,1,,,4,3,3,3,3,,,1,,3,4,1,2,3,,2,1,1,4,,,,
5 Nicole Scott,24,QLD,HR Assistant,3,1,3,,4,4,1,,,1,,,2,3,,,,2,1,,4,3,,,,1,,,5,4,,,,1,,,2,1,,5,,2,3,1,3,3,2,,,,1,,,4,2,,,,1,,1,,,2,,1,,3,2,,,,1,,4,5,2,2,1,,,5,5,1,2,4,2,,2,,,,,,
6 Anushka Zargaryan,49,VIC,Optical Dispenser,3,1,3,,2,3,,,,2,2,,2,2,,,,1,,,4,4,,,,3,1,,3,7,1,,,1,,,3,1,,1,2,1,,,3,2,,,,,2,2,,4,1,,2,,3,1,3,5,6,,,2,4,3,3,2,,,2,,1,,,3,,1,,6,3,2,,,,,,,,,,,
7 Christina Laker,29,QLD,Naturopathy Student,3,3,3,,4,3,,,,2,3,1,3,2,,,,2,1,,4,4,,,,3,1,,2,6,,,,2,1,,3,2,,,,2,2,,3,3,1,,,,2,3,1,4,2,,,,1,,4,5,3,,,1,,3,1,,4,,1,,4,4,1,4,,2,2,,,,,,,,,,,,,,
8 Derek Lau,26,WA,Financial Analyst,3,1,3,,4,2,,1,3,2,2,,3,1,,4,,2,1,,4,6,1,,,1,,,1,,,3,,1,,,3,1,,3,,1,,,2,2,,,,,1,,,4,3,2,,,3,1,2,3,7,,,1,,1,,,2,,3,4,,,,,,,,,,,,,,,,,,,,,
9 Tati Carlin,49,VIC,Receptionist,3,1,3,,4,3,,,,1,,,3,2,,,,2,2,1,4,1,,1,2,3,2,1,4,1,,2,,1,,,2,2,,,,1,,,3,2,,,,,2,1,,4,2,,,,3,3,4,2,5,,,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
10 Ben Trobbiani,24,SA,Pharmacist,3,1,3,,4,3,,,,1,,,3,2,,,,1,,,4,3,,,,3,3,2,5,4,,,,2,2,3,3,3,3,,,2,3,2,3,1,,,2,,1,,,4,1,,3,,2,,4,2,4,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Sandeep Pandit,37,VIC,IT Project Manager,3,3,3,,4,3,,,,2,2,,3,3,,,,1,,,2,4,,,,2,,,5,2,,1,1,1,,,3,2,,,,1,,,3,2,,,,,,,,4,2,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Steph De Sousa,45,NSW,HR Specialist,3,1,3,,2,3,,,,1,,,3,1,,3,,2,2,1,3,2,,3,,2,,,5,3,,,,2,3,1,3,3,2,,,2,1,,3,2,,,,,1,,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13+ Abbey Rose,28,NSW,Kitchen & Homewares Buyer,3,1,3,,1,,,2,,1,,,2,4,1,,,2,2,1,3,2,,2,,1,,,5,6,,,,1,,,2,1,,2,,1,,,3,1,,,4,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Walleed Rasheed,38,VIC,Marketing Analyst,3,1,3,,4,3,,,,2,3,1,3,3,,,,2,1,,4,4,,,,1,,,5,5,,,,2,1,,3,2,,,,1,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Joe Ahern,22,WA,Digital Production Assistant,3,1,2,4,4,3,,,,1,,,3,3,,,,1,,,4,3,,,,2,,,3,5,,,,2,4,2,3,2,,,,2,3,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Kyle Lyons,29,WA,Brewery Sales Manager,3,1,3,,4,1,,3,,2,3,1,3,3,,,,1,,,4,4,,,,1,,,5,7,2,,,2,2,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Leah Milburn-Clark,22,VIC,Theatre Manager,3,3,3,,4,3,,,,1,,,3,4,2,,,1,,,4,6,2,,,1,,,5,7,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Blake Werner,23,VIC,Bar Manager,3,1,3,,4,3,,,,1,,,3,1,,4,,2,1,,4,3,,,,3,2,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Jess Hall,28,NSW,Travel Agent,3,1,3,,4,3,,,,1,,,1,,,4,,2,2,2,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Mandy Hall,51,SA,Stay At Home Mum,3,1,2,2,4,3,,,,1,,,3,4,3,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Monica Mignone,27,VIC,Primary School Teacher,3,3,3,,4,3,,,,2,2,,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Yossra Abouelfadl,36,NSW,Pharmacist,3,1,3,,4,4,2,,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Dee Williams,37,VIC,Office Manager,3,2,1,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Huda Al-Sultan,34,SA,Dietitian,3,1,3,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
